"","counts","names","type","depth","read_counts","length","normalized","normalized_adjusted","rpkm","fraction"
"50",17,"93R20_D03_CFFv1_NA0087.filtered.sam.bam","HHV-6A",0.0269166666666667,6668156,48000,4.03659822395677e-09,4.68499022182507,0.0531131345257469,2.54943045723585e-06
"51",49,"97P10_B02_CFFv1_NB0119.filtered.sam.bam","HHV-6A",0.0775833333333333,25571265,48000,3.03400450987987e-09,3.52135156216444,0.0399211119721036,1.91621337466097e-06
"52",55,"98P11_C02_CFFv1_NB0120.filtered.sam.bam","HHV-6A",0.0870833333333333,22777892,48000,3.82315156000096e-09,4.43725797847737,0.0503046257894863,2.41462203789534e-06
"53",99,"99P03_C01_CFFv1_NB0121.filtered.sam.bam","HHV-6A",0.15675,58704472,48000,2.67015432827673e-09,3.09905673656025,0.0351336095825885,1.68641325996425e-06
"54",551,"9P01_A01_CFFv1_NB0021.filtered.sam.bam","HHV-6A",0.872416666666667,52685887,48000,1.65588303878545e-08,19.2186475214554,0.217879347208611,1.04582086660133e-05
"55",149,"100R21_E03_CFFv1_NA0104.filtered.sam.bam","HHV-6B",0.235916666666667,8742122,48000,2.69862015957529e-08,31.3209498656452,0.355081599944117,1.70439167973176e-05
"56",30,"104P04_D01_CFFv1_NA0266.filtered.sam.bam","HHV-6B",0.0475,22370624,48000,2.12332029718974e-09,2.46438567284153,0.0279384249630229,1.3410443982251e-06
"57",294,"108R08_H01_CFFv1_NA0123.filtered.sam.bam","HHV-6B",0.4655,19397685,48000,2.39977090049663e-08,27.8524207257528,0.315759329012715,1.51564477926103e-05
"58",92,"108R17_A03_CFFv1_NA0123.filtered.sam.bam","HHV-6B",0.145666666666667,9514796,48000,1.53094892067751e-08,17.7686267632976,0.201440647457567,9.66915107796321e-06
"59",532,"109P08_H01_CFFv1_NA0273.filtered.sam.bam","HHV-6B",0.842333333333333,37966270,48000,2.21863599804072e-08,25.7501177474659,0.291925789215884,1.40124378823624e-05
"60",641,"109P08_H01_CFFv1_NB0133.filtered.sam.bam","HHV-6B",1.01491666666667,41837035,48000,2.42588096089187e-08,28.1554614814985,0.319194863275246,1.53213534372118e-05
"61",182,"10P05_E01_CFFv1_NB0022.filtered.sam.bam","HHV-6B",0.288166666666667,12197488,48000,2.3625083022559e-08,27.4199404571902,0.310856355559986,1.49211050668793e-05
"62",12,"120R22_F03_CFFv1_NA0137.filtered.sam.bam","HHV-6B",0.019,7041653,48000,2.6982300888726e-09,3.13164225945953,0.0355030274851658,1.70414531928796e-06
"63",280,"25P15_G02_CFFv1_NB0042.filtered.sam.bam","HHV-6B",0.443333333333333,21445739,48000,2.06723271850568e-08,23.9928884052834,0.272004305066537,1.30562066431938e-05
"64",210,"25P19_C03_CFFv1_NB0042.filtered.sam.bam","HHV-6B",0.3325,21975800,48000,1.51302796712748e-08,17.5606311008871,0.199082627253615,9.55596610817354e-06
"65",201,"52P23_G03_CFFv1_NB0069.filtered.sam.bam","HHV-6B",0.31825,15169003,48000,2.09802845974782e-08,24.3503125,0.276056376282607,1.32507060615652e-05
"66",360,"73P02_B01_CFFv1_NB0094.filtered.sam.bam","HHV-6B",0.57,25809275,48000,2.20850837538056e-08,25.6325736905628,0.290593207286915,1.39484739497719e-05
"67",491,"76P02_B01_CFFv1_NB0097.filtered.sam.bam","HHV-6B",0.777416666666667,35451467,48000,2.19290408113906e-08,25.4514658322032,0.288540010676192,1.38499205124572e-05
"68",15,"93R20_D03_CFFv1_NA0087.filtered.sam.bam","HHV-6B",0.02375,6668156,48000,3.56170431525597e-09,4.13381490161036,0.0468645304638944,2.24949746226693e-06
"69",50,"97P10_B02_CFFv1_NB0119.filtered.sam.bam","HHV-6B",0.0791666666666667,25571265,48000,3.09592296926518e-09,3.59321587975963,0.0407358285429628,1.95531977006222e-06
"70",48,"98P11_C02_CFFv1_NB0120.filtered.sam.bam","HHV-6B",0.076,22777892,48000,3.33656863418265e-09,3.87251605394388,0.0439022188708244,2.10730650579957e-06
"71",93,"99P03_C01_CFFv1_NB0121.filtered.sam.bam","HHV-6B",0.14725,58704472,48000,2.50832679322965e-09,2.91123511616266,0.0330042999109165,1.58420639572399e-06
"72",754,"9P01_A01_CFFv1_NB0021.filtered.sam.bam","HHV-6B",1.19383333333333,52685887,48000,2.26594521096956e-08,26.2992018714653,0.298150685653889,1.43112329113867e-05
