"","Var1","Freq","percent","type"
"652","222",3,0.132333480370534,"CMV"
"653","223",3,0.132333480370534,"CMV"
"654","224",4,0.176444640494045,"CMV"
"655","225",6,0.264666960741067,"CMV"
"656","226",3,0.132333480370534,"CMV"
"657","227",3,0.132333480370534,"CMV"
"658","228",2,0.0882223202470225,"CMV"
"659","229",3,0.132333480370534,"CMV"
"660","230",5,0.220555800617556,"CMV"
"661","231",4,0.176444640494045,"CMV"
"662","232",5,0.220555800617556,"CMV"
"663","233",2,0.0882223202470225,"CMV"
"664","234",4,0.176444640494045,"CMV"
"665","235",1,0.0441111601235112,"CMV"
"666","237",2,0.0882223202470225,"CMV"
"667","238",2,0.0882223202470225,"CMV"
"668","239",3,0.132333480370534,"CMV"
"669","240",4,0.176444640494045,"CMV"
"670","241",2,0.0882223202470225,"CMV"
"671","242",3,0.132333480370534,"CMV"
"672","243",3,0.132333480370534,"CMV"
"673","244",2,0.0882223202470225,"CMV"
"674","245",5,0.220555800617556,"CMV"
"675","247",3,0.132333480370534,"CMV"
"676","248",3,0.132333480370534,"CMV"
"677","249",2,0.0882223202470225,"CMV"
"678","250",2,0.0882223202470225,"CMV"
"679","251",2,0.0882223202470225,"CMV"
"680","252",2,0.0882223202470225,"CMV"
"681","253",2,0.0882223202470225,"CMV"
"682","254",1,0.0441111601235112,"CMV"
"683","255",2,0.0882223202470225,"CMV"
"684","256",2,0.0882223202470225,"CMV"
"685","257",5,0.220555800617556,"CMV"
"686","259",1,0.0441111601235112,"CMV"
"687","260",2,0.0882223202470225,"CMV"
"688","261",2,0.0882223202470225,"CMV"
"689","262",2,0.0882223202470225,"CMV"
"690","263",1,0.0441111601235112,"CMV"
"691","265",6,0.264666960741067,"CMV"
"692","266",1,0.0441111601235112,"CMV"
"693","267",3,0.132333480370534,"CMV"
"694","268",2,0.0882223202470225,"CMV"
"695","269",4,0.176444640494045,"CMV"
"696","270",1,0.0441111601235112,"CMV"
"697","271",2,0.0882223202470225,"CMV"
"698","272",4,0.176444640494045,"CMV"
"699","273",2,0.0882223202470225,"CMV"
"700","274",2,0.0882223202470225,"CMV"
"701","275",4,0.176444640494045,"CMV"
"702","276",1,0.0441111601235112,"CMV"
"703","277",4,0.176444640494045,"CMV"
"704","278",2,0.0882223202470225,"CMV"
"705","279",3,0.132333480370534,"CMV"
"706","280",1,0.0441111601235112,"CMV"
"707","281",3,0.132333480370534,"CMV"
"708","282",5,0.220555800617556,"CMV"
"709","283",4,0.176444640494045,"CMV"
"710","284",2,0.0882223202470225,"CMV"
"711","285",3,0.132333480370534,"CMV"
"712","286",2,0.0882223202470225,"CMV"
"713","287",6,0.264666960741067,"CMV"
"714","288",7,0.308778120864579,"CMV"
"715","289",4,0.176444640494045,"CMV"
"716","290",4,0.176444640494045,"CMV"
"717","292",2,0.0882223202470225,"CMV"
"718","293",1,0.0441111601235112,"CMV"
"719","294",4,0.176444640494045,"CMV"
"720","295",4,0.176444640494045,"CMV"
"721","296",1,0.0441111601235112,"CMV"
"722","297",2,0.0882223202470225,"CMV"
"723","298",5,0.220555800617556,"CMV"
"724","299",7,0.308778120864579,"CMV"
"725","300",5,0.220555800617556,"CMV"
"726","301",3,0.132333480370534,"CMV"
"727","302",3,0.132333480370534,"CMV"
"728","303",1,0.0441111601235112,"CMV"
"729","304",2,0.0882223202470225,"CMV"
"730","305",8,0.35288928098809,"CMV"
"731","306",4,0.176444640494045,"CMV"
"732","307",5,0.220555800617556,"CMV"
"733","308",3,0.132333480370534,"CMV"
"734","309",4,0.176444640494045,"CMV"
"735","310",2,0.0882223202470225,"CMV"
"736","311",3,0.132333480370534,"CMV"
"737","312",5,0.220555800617556,"CMV"
"738","313",2,0.0882223202470225,"CMV"
"739","314",2,0.0882223202470225,"CMV"
"740","315",3,0.132333480370534,"CMV"
"741","317",3,0.132333480370534,"CMV"
"742","318",2,0.0882223202470225,"CMV"
"743","319",2,0.0882223202470225,"CMV"
"744","320",3,0.132333480370534,"CMV"
"745","321",2,0.0882223202470225,"CMV"
"746","322",3,0.132333480370534,"CMV"
"747","323",1,0.0441111601235112,"CMV"
"748","324",4,0.176444640494045,"CMV"
"749","325",2,0.0882223202470225,"CMV"
"750","326",4,0.176444640494045,"CMV"
"751","327",4,0.176444640494045,"CMV"
"752","328",4,0.176444640494045,"CMV"
"753","329",3,0.132333480370534,"CMV"
"754","330",3,0.132333480370534,"CMV"
"755","332",1,0.0441111601235112,"CMV"
"756","333",2,0.0882223202470225,"CMV"
"757","335",1,0.0441111601235112,"CMV"
"758","336",1,0.0441111601235112,"CMV"
"759","337",2,0.0882223202470225,"CMV"
"760","338",2,0.0882223202470225,"CMV"
"761","339",2,0.0882223202470225,"CMV"
"762","340",2,0.0882223202470225,"CMV"
"763","341",4,0.176444640494045,"CMV"
"764","342",3,0.132333480370534,"CMV"
"765","343",2,0.0882223202470225,"CMV"
"766","344",2,0.0882223202470225,"CMV"
"767","345",2,0.0882223202470225,"CMV"
"768","346",1,0.0441111601235112,"CMV"
"769","347",2,0.0882223202470225,"CMV"
"770","348",4,0.176444640494045,"CMV"
"771","350",1,0.0441111601235112,"CMV"
"772","351",2,0.0882223202470225,"CMV"
"773","352",1,0.0441111601235112,"CMV"
"774","356",1,0.0441111601235112,"CMV"
"775","357",2,0.0882223202470225,"CMV"
"776","358",2,0.0882223202470225,"CMV"
"777","359",1,0.0441111601235112,"CMV"
"778","360",2,0.0882223202470225,"CMV"
"779","361",1,0.0441111601235112,"CMV"
"780","362",1,0.0441111601235112,"CMV"
"781","363",1,0.0441111601235112,"CMV"
"782","364",3,0.132333480370534,"CMV"
"783","365",3,0.132333480370534,"CMV"
"784","366",1,0.0441111601235112,"CMV"
"785","369",3,0.132333480370534,"CMV"
"786","370",1,0.0441111601235112,"CMV"
"787","371",2,0.0882223202470225,"CMV"
"788","372",2,0.0882223202470225,"CMV"
"789","373",1,0.0441111601235112,"CMV"
"790","374",1,0.0441111601235112,"CMV"
"791","376",2,0.0882223202470225,"CMV"
"792","380",2,0.0882223202470225,"CMV"
"793","381",2,0.0882223202470225,"CMV"
"794","383",1,0.0441111601235112,"CMV"
"795","387",1,0.0441111601235112,"CMV"
"796","389",1,0.0441111601235112,"CMV"
"797","391",2,0.0882223202470225,"CMV"
"798","392",1,0.0441111601235112,"CMV"
"799","393",3,0.132333480370534,"CMV"
"800","397",1,0.0441111601235112,"CMV"
"801","398",2,0.0882223202470225,"CMV"
"802","402",1,0.0441111601235112,"CMV"
"803","403",1,0.0441111601235112,"CMV"
"804","405",1,0.0441111601235112,"CMV"
"805","406",1,0.0441111601235112,"CMV"
"806","408",2,0.0882223202470225,"CMV"
"807","411",1,0.0441111601235112,"CMV"
"808","413",1,0.0441111601235112,"CMV"
"809","414",1,0.0441111601235112,"CMV"
"810","418",2,0.0882223202470225,"CMV"
"811","420",1,0.0441111601235112,"CMV"
"812","421",1,0.0441111601235112,"CMV"
"813","422",1,0.0441111601235112,"CMV"
"814","423",3,0.132333480370534,"CMV"
"815","426",1,0.0441111601235112,"CMV"
"816","428",1,0.0441111601235112,"CMV"
"817","431",1,0.0441111601235112,"CMV"
"818","432",2,0.0882223202470225,"CMV"
"819","433",1,0.0441111601235112,"CMV"
"820","437",1,0.0441111601235112,"CMV"
"821","440",2,0.0882223202470225,"CMV"
"822","441",1,0.0441111601235112,"CMV"
"823","444",1,0.0441111601235112,"CMV"
"824","445",1,0.0441111601235112,"CMV"
"825","447",1,0.0441111601235112,"CMV"
"826","448",2,0.0882223202470225,"CMV"
"827","449",1,0.0441111601235112,"CMV"
"828","451",3,0.132333480370534,"CMV"
"829","453",1,0.0441111601235112,"CMV"
"830","454",1,0.0441111601235112,"CMV"
"831","455",1,0.0441111601235112,"CMV"
"832","456",1,0.0441111601235112,"CMV"
"833","458",1,0.0441111601235112,"CMV"
"834","459",1,0.0441111601235112,"CMV"
"835","460",2,0.0882223202470225,"CMV"
"836","462",1,0.0441111601235112,"CMV"
"837","466",3,0.132333480370534,"CMV"
"838","468",1,0.0441111601235112,"CMV"
"839","469",1,0.0441111601235112,"CMV"
"840","470",1,0.0441111601235112,"CMV"
"841","471",1,0.0441111601235112,"CMV"
"842","472",1,0.0441111601235112,"CMV"
"843","473",1,0.0441111601235112,"CMV"
"844","476",2,0.0882223202470225,"CMV"
"845","477",1,0.0441111601235112,"CMV"
"846","478",1,0.0441111601235112,"CMV"
"847","482",1,0.0441111601235112,"CMV"
"848","483",1,0.0441111601235112,"CMV"
"849","487",1,0.0441111601235112,"CMV"
"850","488",1,0.0441111601235112,"CMV"
"851","490",1,0.0441111601235112,"CMV"
"852","496",2,0.0882223202470225,"CMV"
"853","497",1,0.0441111601235112,"CMV"
"854","499",1,0.0441111601235112,"CMV"
